"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"5884",12026002,1515.80736,3,"CX","Al","MO",72416.75,20519100
"5885",12026007,2522.49783,1,"CX","HS","LO",178328.6,2067300
"5886",12026060,356.98485,3,"CX","HS","MO",185006.9,12415500
"5887",12026121,457.27922,3,"CX","HS","MO",185107.2,42609020
"5888",12026135,444.85281,2,"CX","SS","LO",51734.06,3976200
"5889",12026146,1158.82251,3,"CX","HS","MO",176160.9,12204900
"5890",12026147,676.69048,2,"CX","HS","LO",175678.8,1368900
"5891",12026263,726.3961,2,"CX","SS","LO",53319.28,1394100
"5892",12026334,1416.3961,2,"CX","HS","LO",177856.7,5245200
"5893",12026352,814.26407,4,"CX","HS","MO",179001,88537088
"5894",12026359,247.27922,4,"CX","HS","MO",177229.8,92850768
"5895",12026362,332.13203,4,"CX","HS","MO",180950.1,70640344
"5896",12026371,642.42641,4,"CX","HS","MO",179805.9,74700240
"5897",12026380,282.42641,3,"CX","HS","MO",179445.9,11264621
"5898",12026392,1608.82251,3,"CX","HS","MO",181054.7,10596822
"5899",12026405,174.85281,4,"CX","HS","MO",177447,91992184
"5900",12026406,234.85281,1,"CX","HS","LO",177681.9,333900
"5901",12026420,402.42641,4,"CX","HS","MO",177981.9,91263184
"5902",12026421,204.85281,4,"CX","HS","MO",178186.7,90621480
"5903",12026437,264.85281,2,"CX","HS","LO",178451.6,2050200
"5904",12026522,856.69048,2,"CX","Al","LO",45479.67,2457000
"5905",12026586,1810.66017,1,"CX","Al","LO",47507.61,905400
"5906",12026937,801.83766,3,"CX","SS","MO",25251.23,5319900
"5907",12026991,4633.15801,2,"CX","SS","LO",25028.81,2807100
"5908",12027249,1059.41125,2,"CX","HS","LO",130466.5,1219500
"5909",12027252,2917.64502,3,"CX","SS","MO",12441.53,19547100
"5910",12027295,1948.23376,2,"CX","SS","LO",21212.04,2718900
"5911",12027307,60,1,"CX","Al","LO",29457.12,229500
