"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"1",1000001,2980.66017,1,"WD","VA","LO",3547.645,1935900
"2",1000006,1116.3961,1,"WD","Pl","LO",1116.396,700435.12
"3",1000010,314.55844,2,"WD","VA","LO",314.5584,1926737.62
"4",1000011,911.54329,1,"WD","SS","LO",1593.381,935100
"5",1000013,489.41125,2,"WD","Pl","LO",489.4113,1959028.12
"6",1000023,512.13203,1,"WD","SS","LO",1139.117,432900
"7",1000026,272.13203,2,"WD","VA","LO",929.1169,1229400
"8",1000036,1640.95454,1,"WD","VA","LO",2612.498,1037700
"9",1000039,574.26407,3,"WD","SS","MO",731.5433,10449900
"10",1000056,1281.83766,2,"WD","SS","LO",2820.366,3979800
"11",1000073,899.11688,2,"WD","SS","LO",2672.498,4676400
"12",1000074,386.98485,1,"WD","SS","LO",1640.955,578700
"13",1000082,506.98485,2,"WD","SS","LO",1253.97,1248300
"14",1000118,604.26407,3,"WD","VA","MO",2217.351,6743700
"15",1000254,1181.54329,1,"WD","VA","LO",7090.509,756900
"16",1000318,432.42641,2,"WW","VA","LO",15536.16,829800
"17",1000342,549.41125,3,"WD","VA","MO",4960.143,27966600
"18",1000365,902.13203,2,"WD","HS","LO",1506.396,2165400
"19",1000371,1826.10173,2,"WD","VA","LO",9828.153,4846500
"20",1000394,969.41125,3,"WD","SS","MO",3542.498,4701600
"21",1000414,644.55844,3,"WD","SS","MO",1561.249,7215300
"22",1000514,634.26407,2,"WW","VA","LO",2207.939,3786300
"23",1000561,1416.3961,1,"WW","SS","LO",11517.56,1444500
"24",1000614,789.41125,1,"WW","SS","LO",8812.052,484200
"25",1000650,2354.92424,2,"WD","SS","LO",2644.63,6480900
"26",1000681,549.41125,1,"WD","SS","LO",3174.335,404100
"27",1000892,294.85281,2,"WD","SS","LO",4418.011,1516500
"28",1000944,409.70563,1,"WD","Al","LO",10958.74,315000
"29",1000952,342.42641,2,"WD","SS","LO",2447.939,3574800
"30",1000993,127.27922,2,"WD","SS","LO",8326.539,8000100
"31",1001130,971.54329,2,"WD","Al","LO",8494.478,3397500
"32",1001137,1326.3961,1,"WD","Al","LO",6355.951,698400
"33",1001148,1303.67532,3,"WD","Al","MO",4944.701,3671100
"34",1001185,1475.51299,1,"WD","SS","LO",5868.67,698400
"35",1001251,2202.79221,1,"WD","SS","LO",10387.86,1396800
"36",1001267,432.42641,2,"WD","Al","LO",5171.026,3268800
"37",1001271,771.83766,1,"WD","SS","LO",5534.407,394200
"38",1001301,1586.10173,3,"WD","Al","MO",3866.468,6115500
"39",1001314,314.55844,1,"WD","SS","LO",2608.234,313200
"40",1001341,856.69048,1,"WD","SS","LO",2504.924,502200
"41",1001345,272.13203,2,"WD","SS","LO",1648.234,1551600
"42",1001365,392.13203,1,"WD","SS","LO",1483.675,387000
"43",1001396,1681.24892,1,"WD","SS","LO",5535.291,1052100
"44",1001397,2175.80736,1,"WD","Al","LO",2405.513,1641600
"45",1001405,789.41125,1,"WD","SS","LO",5784.702,609300
"46",1001415,932.13203,1,"WD","SS","LO",932.132,666000
"47",1001428,489.41125,1,"WD","SS","LO",719.1169,469800
"48",1001448,356.98485,2,"WD","SS","LO",1613.087,1717200
"49",1001449,519.41125,2,"WD","Al","LO",5604.701,2182500
"50",1001456,609.41125,2,"WD","Al","LO",5085.29,2528100
"51",1001457,713.9697,1,"WD","Al","LO",5189.849,432900
"52",1001498,2600.07143,2,"WD","SS","LO",5325.29,3326400
"53",1001502,614.55844,1,"WD","SS","LO",614.5584,693716.88
"54",1001508,879.41125,1,"WD","Al","LO",4868.011,997200
"55",1001523,386.98485,1,"WD","SS","LO",706.6905,328500
"56",1001527,642.42641,1,"WD","Al","LO",5967.717,302400
"57",1001530,504.85281,1,"WD","Al","LO",5957.422,255600
"58",1001587,881.54329,2,"WD","SS","LO",1933.675,5193000
"59",1001595,1243.67532,1,"WD","Al","LO",3573.747,1011600
"60",1001598,1458.82251,1,"WD","Al","LO",5950.143,934200
"61",1001605,1388.52814,1,"WD","SS","LO",5944.996,1308600
"62",1001678,991.24892,2,"WD","Al","LO",991.2489,4059000
"63",1001683,552.42641,3,"WD","SS","MO",552.4264,6625715
"64",1001702,569.11688,1,"WD","M","LO",5264.407,552600
"65",1001704,526.69048,2,"WD","SS","LO",1079.117,3133800
"66",1001722,296.98485,2,"WD","SS","LO",1376.102,2010600
"67",1001725,690,1,"WD","SS","LO",1866.396,253800
"68",1001796,144.85281,1,"WD","Al","LO",144.8528,233100
"69",1001896,801.83766,1,"WD","SS","LO",11697.05,784800
"70",1001946,1913.08658,2,"WD","Al","LO",14888.96,2434500
"71",1001959,1141.24892,1,"WD","Al","LO",1141.249,1484557.88
"72",1001982,649.70563,1,"WD","Al","LO",14042.56,549000
"73",1002051,771.83766,1,"WW","VA","LO",2110.66,614700
"74",1002055,384.85281,2,"WW","VA","LO",384.8528,947898.69
"75",1002056,1389.41125,2,"WD","Al","LO",7517.788,3162600
"76",1002057,1323.38095,2,"WD","Al","LO",8841.169,2486700
"77",1002075,589.70563,1,"WW","VA","LO",589.7056,639101.19
"78",1002085,711.83766,1,"WW","VA","LO",1538.528,469800
"79",1002088,192.42641,2,"WD","Al","LO",9033.596,1062900
"80",1002111,701.54329,1,"WD","Al","LO",9777.566,477000
"81",1002114,102.42641,1,"WD","Al","LO",6933.229,269100
"82",1002129,921.83766,1,"WW","VA","LO",921.8376,836213
"83",1002133,2008.23376,1,"WW","VA","LO",2008.234,1494931.62
"84",1002188,923.9697,2,"WW","VA","LO",923.9697,1489018.25
"85",1002207,923.9697,1,"WD","Al","LO",3882.792,468000
"86",1002248,702.42641,1,"WD","SS","LO",3746.102,633600
"87",1002267,422.13203,2,"WW","VA","LO",12852.49,2473200
"88",1002301,1573.67532,4,"WW","SS","MO",4705.585,27490500
"89",1002382,701.54329,3,"WW","SS","MO",5726.833,17340300
"90",1002427,1560.3658,1,"WD","SS","LO",1560.366,1099799.88
"91",1002474,951.83766,1,"WD","SS","LO",5617.127,977400
"92",1002494,476.98485,2,"WD","Al","LO",476.9849,1619100
"93",1002560,1289.11688,1,"WD","SS","LO",6724.996,523800
"94",1002613,282.42641,1,"WD","SS","LO",1903.675,301500
"95",1002635,1616.10173,2,"WW","VA","LO",2682.792,3660300
"96",1002665,619.70563,1,"WD","SS","LO",3892.203,633600
"97",1002705,1086.3961,3,"WW","VA","MO",2310.366,3670200
"98",1002714,30,3,"WD","Al","MO",30,3744752
"99",1002733,839.11688,2,"WD","SS","LO",3494.041,788400
"100",1002756,506.98485,2,"WD","SS","LO",3272.498,1239300
"101",1002765,294.85281,1,"WW","VA","LO",1783.675,293400
"102",1002783,259.70563,1,"WD","Al","LO",3025.219,283500
"103",1002966,1193.9697,2,"WD","SS","LO",5143.158,2318400
"104",1003003,302.13203,1,"WW","SS","LO",2605.219,432900
"105",1003015,556.69048,3,"WW","SS","MO",2664.335,13878000
"106",1003022,1781.54329,1,"WD","SS","LO",5730.731,1204200
"107",1003208,1483.67532,1,"WD","SS","LO",2428.234,1045800
"108",1003349,2732.49783,1,"WD","SS","LO",2732.498,1572189
"109",1003409,1626.3961,2,"WW","HS","LO",10753.01,2188800
"110",1003470,1328.52814,2,"WW","SS","LO",16188.37,5495400
"111",1003484,923.9697,2,"WW","SS","LO",3686.468,1366200
"112",1003506,1038.82251,1,"WW","SS","LO",2402.498,477900
"113",1003598,469.70563,3,"WW","HS","MO",2762.498,3688200
"114",1003644,704.55844,2,"WD","SS","LO",13524.18,1503000
"115",1003726,222.42641,2,"WW","VA","LO",4758.305,1954800
"116",1003753,729.41125,4,"WW","VA","MO",4535.879,23652000
"117",1003864,1918.23376,1,"WD","SS","LO",16373.67,1145700
"118",1003909,602.13203,2,"WW","VA","LO",602.132,4786659.5
"119",1003946,1389.41125,1,"WW","M","LO",14882.71,1173600
"120",1003959,1001.54329,1,"WW","HS","LO",18861.75,810000
"121",1004027,506.98485,5,"WW","VA","HO",1473.381,64397700
"122",1004049,1049.11688,4,"WW","SS","MO",43190.62,32188500
"123",1004184,1259.11688,3,"WW","SS","MO",11676.09,17804700
"124",1004488,2842.20346,2,"WW","SS","LO",22480.05,2441700
"125",1004601,2300.95454,3,"WW","HS","MO",2300.955,5304333.5
"126",1004624,1501.24892,1,"WW","HS","LO",1501.249,1106100
"127",1004666,621.83766,2,"WW","HS","LO",621.8376,1753079.75
"128",1004738,1376.10173,2,"WW","HS","LO",1376.102,6839287.5
"129",1004948,439.70563,3,"WW","HS","MO",439.7056,4960100.5
"130",1005055,1321.24892,1,"WW","HS","LO",22370.35,1232100
"131",1005104,187.27922,2,"WW","VA","LO",28023.51,4063500
"132",1005168,1226.10173,1,"WW","HS","LO",20065.13,1001700
"133",1005192,826.69048,2,"WW","HS","LO",826.6905,3903834.5
"134",1005231,1223.9697,3,"WW","VA","MO",49681.14,11935800
"135",1005252,904.26407,2,"WW","VA","LO",49728.71,3497400
"136",1005318,1873.67532,1,"WW","HS","LO",21354.25,1241100
"137",1005353,771.83766,1,"WW","HS","LO",20724.24,643500
"138",1005425,3202.20346,1,"WW","VA","LO",14291.61,1605600
"139",1005503,766.69048,1,"WW","VA","LO",21111.23,537300
"140",1005521,784.26407,2,"WX","SS","LO",23540.35,2446200
"141",1005640,487.27922,2,"WW","SS","LO",24027.62,1045800
"142",1005649,749.11688,1,"WW","VA","LO",10764.55,549900
"143",1005705,469.70563,2,"WW","VA","LO",17363.52,3417300
"144",1005714,2080.66017,3,"WW","VA","MO",14579.18,6068700
"145",1005742,1103.9697,3,"WW","VA","MO",17997.78,4090500
"146",1005752,3107.05627,4,"WW","VA","MO",13741.31,20565900
"147",1005772,1488.82251,3,"WW","VA","MO",18147.78,8056800
"148",1005775,162.42641,2,"WW","HS","LO",162.4264,1941070.38
"149",1005863,2213.08658,1,"WW","VA","LO",15954.4,1084500
"150",1005918,5087.42207,4,"WW","VA","MO",10634.25,25493400
"151",1005959,392.13203,2,"WD","HS","LO",392.132,1332631.75
"152",1006072,332.13203,3,"WW","SS","MO",21322.12,10608300
"153",1006075,512.13203,2,"WW","VA","LO",7468.083,2755800
"154",1006106,1031.54329,4,"WW","SS","MO",20989.98,44630100
"155",1006159,741.83766,2,"WW","VA","LO",6316.539,4791600
"156",1006190,187.27922,1,"WW","HS","LO",20145.72,279000
"157",1006231,494.55844,4,"WW","SS","MO",19958.44,45049500
"158",1006257,734.55844,1,"WW","VA","LO",6309.26,507600
"159",1006288,923.9697,2,"WW","HS","LO",19506.31,1629900
"160",1006300,607.27922,3,"WW","HS","MO",769.7056,3430800
"161",1006322,1628.52814,1,"WW","VA","LO",6533.818,1299600
"162",1006409,540,1,"WW","VA","LO",1501.249,301500
"163",1006414,212.13203,1,"WW","VA","LO",1143.381,426600
"164",1006416,1101.83766,2,"WW","HS","LO",1871.543,1820700
"165",1006418,893.9697,2,"WW","VA","LO",4905.29,5913900
"166",1006431,734.55844,3,"WW","VA","MO",734.5584,10108699
"167",1006451,392.13203,4,"WW","VA","MO",2774.924,43097400
"168",1006477,1428.82251,2,"WW","VA","LO",11713.37,1581300
"169",1006504,746.98485,1,"WW","HS","LO",2618.528,747000
"170",1006538,784.26407,3,"WW","HS","MO",2095.219,14557500
"171",1006575,1245.80736,1,"WW","M","LO",4167.717,655200
"172",1006576,3032.49783,3,"WW","HS","MO",5127.717,7016400
"173",1006593,646.69048,2,"WW","VA","LO",3753.747,4574700
"174",1006607,319.70563,1,"WW","HS","LO",319.7056,450942.78
"175",1006623,911.54329,4,"WW","SS","MO",6151.98,46084500
"176",1006679,2400.3658,1,"WW","HS","LO",6081.686,1468800
"177",1006680,621.83766,1,"WW","HS","LO",1673.087,556200
"178",1006689,1211.54329,2,"WW","HS","LO",5224.996,3838500
"179",1006816,1294.26407,1,"WW","HS","LO",5218.6,936000
"180",1006834,1453.67532,3,"WW","VA","MO",9523.006,7307100
"181",1006843,602.13203,1,"WW","HS","LO",5213.453,469800
"182",1006856,886.69048,3,"WW","HS","MO",6014.407,4690800
"183",1007001,964.26407,1,"WW","VA","LO",10487.27,663300
"184",1007009,1303.67532,1,"WW","HS","LO",4895.879,762300
"185",1007093,706.69048,3,"WX","HS","MO",21296.38,11184300
"186",1007107,1196.98485,1,"WW","HS","LO",3482.498,758700
"187",1007131,711.83766,1,"WW","VA","LO",10694.26,521100
"188",1007141,724.26407,1,"WW","VA","LO",11278.81,667800
"189",1007195,307.27922,1,"WW","HS","LO",7672.935,298800
"190",1007209,1721.54329,2,"WW","VA","LO",12915.5,2423700
"191",1007266,692.13203,1,"WW","HS","LO",22408.51,770400
"192",1007451,1280.95454,1,"WW","HS","LO",26195.28,958500
"193",1007582,1109.11688,1,"WW","HS","LO",24846.16,586800
"194",1007593,766.69048,1,"WW","HS","LO",27781.38,634500
"195",1007653,926.98485,1,"WW","HS","LO",27139.84,617400
"196",1007667,1840.66017,4,"WW","HS","MO",11391.53,90980080
"197",1007717,1860.3658,1,"WW","HS","LO",33587.03,1609200
"198",1007742,1278.82251,3,"WW","SS","MO",2774.924,9170100
"199",1007746,629.11688,1,"WW","HS","LO",629.1169,414390.09
"200",1007777,247.27922,3,"WW","SS","MO",1109.117,9346500
"201",1007832,307.27922,1,"WW","HS","LO",307.2792,651343.12
"202",1007844,1785.80736,5,"WW","HS","HO",5851.98,281043008
"203",1007927,561.83766,1,"WW","HS","LO",561.8376,511682.88
"204",1007930,1513.67532,3,"WW","SS","MO",3961.615,16276500
"205",1008006,1743.38095,1,"WW","HS","LO",9633.597,1754100
"206",1008048,996.3961,5,"WW","HS","HO",13416.46,257074256
"207",1008093,1843.67532,2,"WW","HS","LO",2573.087,4055400
"208",1008094,909.41125,2,"WW","HS","LO",1638.822,2447100
"209",1008100,247.27922,1,"WW","VA","LO",13589.18,273600
"210",1008138,3472.20346,2,"WW","HS","LO",19428.73,4215600
"211",1008329,621.83766,5,"WW","SS","HO",15335.58,154032320
"212",1008349,217.27922,1,"WW","HS","LO",2462.498,310500
"213",1008377,1201.24892,1,"WW","VA","LO",29379.02,765000
"214",1008444,404.55844,1,"WW","VA","LO",28582.33,356400
"215",1008449,1483.67532,2,"WW","VA","LO",25034.69,2245500
"216",1008485,596.98485,2,"WW","HS","LO",16940.5,980100
"217",1008498,1526.10173,2,"WW","VA","LO",28177.77,1764900
"218",1008527,369.41125,1,"WW","SS","LO",369.4113,497700
"219",1008529,3117.35065,3,"WW","HS","MO",24042.19,9738000
"220",1008653,904.26407,1,"WW","VA","LO",38617.46,819900
"221",1008666,3216.7619,1,"WW","VA","LO",38310.18,1773000
"222",1008693,1536.3961,1,"WW","VA","LO",29344.24,870300
"223",1008727,3671.54329,1,"WW","HS","LO",28254.98,1334700
"224",1008752,602.13203,2,"WW","VA","LO",602.132,3037440.5
"225",1008778,1883.08658,1,"WW","VA","LO",35925.27,966600
"226",1008869,157.27922,2,"WW","VA","LO",26058.95,2520000
"227",1008897,801.83766,1,"WW","HS","LO",26703.51,717300
"228",1008899,2059.70563,1,"WW","VA","LO",26695.86,387900
"229",1008924,1272.42641,1,"WW","VA","LO",28486.3,377100
"230",1008930,1103.08658,2,"WW","VA","LO",27213.87,5781600
"231",1008935,2257.64502,3,"WW","HS","MO",24859.83,13343400
"232",1008962,709.70563,1,"WW","M","LO",5794.996,596700
"233",1009016,212.13203,4,"WW","VA","MO",13923.44,68338808
"234",1009033,1056.3961,1,"WW","VA","LO",1460.955,1114200
"235",1009034,1244.55844,1,"WW","Al","LO",25880.71,1011600
"236",1009081,2640,1,"WW","VA","LO",28750.79,305100
"237",1009137,4171.24892,2,"WW","VA","LO",30069.9,1176300
"238",1009193,2722.20346,2,"WW","HS","LO",3513.747,3339000
"239",1009215,4808.52814,2,"WW","VA","LO",30113.21,3681000
"240",1009236,229.70563,3,"WW","SS","MO",11316.09,7492500
"241",1009245,1236.3961,1,"WW","SS","LO",1236.396,1349047.88
"242",1009255,1321.24892,2,"WW","SS","LO",12637.34,5145300
"243",1009271,4476.3961,2,"WW","VA","LO",29271.96,986400
"244",1009276,392.13203,2,"WW","Al","LO",24636.15,1805400
"245",1009336,459.41125,4,"WW","VA","MO",20490.28,46008900
"246",1009347,766.69048,3,"WW","VA","MO",24201.6,31241700
"247",1009362,3394.26407,1,"WW","SS","LO",27680.71,509400
"248",1009369,794.55844,2,"WW","VA","LO",29059.83,1045800
"249",1009399,566.98485,3,"WW","HS","MO",5984.407,12018600
"250",1009417,1186.69048,2,"WW","HS","LO",1361.543,2057400
"251",1009418,1003.67532,1,"WW","VA","LO",6788.376,951300
"252",1009426,204.85281,3,"WW","VA","MO",22493.36,33123600
"253",1009430,254.55844,1,"WW","HS","LO",429.4113,290700
"254",1009458,574.26407,1,"WW","HS","LO",22777.92,335700
"255",1009459,2881.24892,1,"WW","VA","LO",27881.67,1238400
"256",1009461,1490.95454,3,"WW","HS","MO",5839.554,14594400
"257",1009466,2036.10173,2,"WW","HS","LO",27108.95,2554200
"258",1009471,1406.10173,3,"WW","VA","MO",21896.38,34779600
"259",1009501,1793.08658,2,"WW","VA","LO",7192.935,2236500
"260",1009509,1256.10173,1,"WW","VA","LO",31379.09,839700
"261",1009538,869.11688,1,"WW","SS","LO",1690.66,760500
"262",1009555,416.98485,3,"WW","HS","MO",9735.139,4527900
"263",1009615,844.26407,2,"WW","HS","LO",10579.4,1610100
"264",1009619,911.54329,2,"WW","HS","LO",28020.49,1578600
"265",1009622,392.13203,1,"WW","HS","LO",25430.71,403200
"266",1009649,1526.10173,3,"WW","VA","MO",4748.011,9101700
"267",1009653,799.70563,1,"WW","VA","LO",52069.58,569700
"268",1009659,821.54329,2,"WW","SS","LO",821.5433,1684725.62
"269",1009664,324.85281,1,"WW","HS","LO",534.8528,324900
"270",1009682,337.27922,1,"WW","VA","LO",7782.641,385200
"271",1009689,162.42641,1,"WW","VA","LO",7360.509,289800
"272",1009713,506.98485,1,"WW","VA","LO",11457.93,384300
"273",1009752,916.69048,1,"WW","SS","LO",28814.17,485100
"274",1009769,302.13203,1,"WW","VA","LO",51572.01,311400
"275",1009787,242.13203,3,"WW","SS","MO",1421.543,16848900
"276",1009807,252.42641,1,"WW","VA","LO",32647.62,269100
"277",1009829,1179.41125,3,"WW","SS","MO",1179.411,17688018
"278",1009915,729.41125,1,"WW","VA","LO",38746.88,639000
"279",1009988,1738.23376,1,"WW","HS","LO",32744.9,1193400
"280",1009989,199.70563,2,"WW","VA","LO",31006.67,5612400
"281",1010198,2003.08658,2,"WW","VA","LO",48434.96,6394500
"282",1010232,234.85281,3,"WW","SS","MO",35569.54,6118200
"283",1010258,1743.38095,3,"WW","VA","MO",48175.25,11709900
"284",1010327,602.13203,2,"WW","SS","LO",1001.543,1511100
"285",1010353,422.13203,1,"WW","SS","LO",35811.66,479700
"286",1010368,1163.9697,2,"WW","SS","LO",36553.5,1314900
"287",1010380,3049.18831,2,"WW","VA","LO",3049.188,7979042
"288",1010383,1488.82251,2,"WW","SS","LO",35903.43,4042800
"289",1010423,1316.10173,1,"WW","HS","LO",47848.27,882000
"290",1010457,217.27922,3,"WW","HS","MO",9043.889,10588500
"291",1010487,2153.08658,1,"WW","HS","LO",11196.98,1265400
"292",1010511,157.27922,1,"WW","HS","LO",36710.77,245700
"293",1010520,669.41125,2,"WW","SS","LO",3706.173,2047500
"294",1010530,839.11688,1,"WW","SS","LO",37961.36,737100
"295",1010546,1400.95454,1,"WW","HS","LO",38523.2,980100
"296",1010579,392.13203,3,"WW","HS","MO",10665.14,6030000
"297",1010581,602.13203,2,"WW","HS","LO",20648.96,1711800
"298",1010589,3906.7619,1,"WW","SS","LO",34485.42,2224800
"299",1010606,1556.10173,2,"WW","VA","LO",36942.76,2059200
"300",1010627,337.27922,2,"WW","SS","LO",12780.95,2349000
"301",1010650,1149.41125,1,"WW","HS","LO",23437.92,774900
"302",1010677,3203.08658,1,"WW","HS","LO",24855.72,2765700
"303",1010693,1049.11688,3,"WW","VA","MO",3216.762,7957800
"304",1010726,579.41125,3,"WW","SS","MO",30101.67,2916000
"305",1010731,1796.10173,1,"WW","SS","LO",3380.071,1053900
"306",1010765,659.11688,1,"WW","SS","LO",5605.95,555300
"307",1010766,2932.20346,2,"WW","SS","LO",3251.909,3944700
"308",1010795,2732.49783,2,"WW","HS","LO",25773.66,4673700
"309",1010820,1695.80736,3,"WW","VA","MO",1695.807,10589521
"310",1010870,831.83766,2,"WW","SS","LO",2518.234,7141500
"311",1010972,2218.23376,1,"WW","HS","LO",26129.4,1563300
"312",1010973,2098.23376,1,"WW","HS","LO",26009.4,1702800
"313",1011000,789.41125,1,"WW","VA","LO",11344.84,717300
"314",1011012,3356.46753,1,"WW","SS","LO",5874.701,2344500
"315",1011023,1066.69048,1,"WW","HS","LO",160196.1,589500
"316",1011033,1073.9697,1,"WW","HS","LO",159067.3,769500
"317",1011106,1109.11688,1,"WW","VA","LO",34589.97,892800
"318",1011160,716.98485,2,"WW","HS","LO",26817.63,1018800
"319",1011161,752.13203,1,"WW","HS","LO",43203.57,594900
"320",1011168,289.70563,2,"WW","HS","LO",41529.6,1957500
"321",1011216,547.27922,2,"WW","HS","LO",43710.55,2000700
"322",1011217,2621.90909,2,"WW","HS","LO",17696.53,4289400
"323",1011250,591.83766,1,"WW","HS","LO",28732.85,521100
"324",1011262,1278.82251,2,"WW","HS","LO",44442.1,1745100
"325",1011295,1580.95454,1,"WW","VA","LO",19773.81,1105200
"326",1011319,312.42641,1,"WW","HS","LO",44754.52,530100
"327",1011343,953.9697,1,"WW","HS","LO",44664.52,597600
"328",1011357,1121.54329,2,"WW","HS","LO",4263.747,2182500
"329",1011375,849.41125,1,"WW","HS","LO",39157.1,610200
"330",1011384,1610.95454,3,"WW","HS","MO",17395.28,4145400
"331",1011458,1061.54329,2,"WW","SS","LO",38307.69,1573200
"332",1011493,1478.52814,3,"WW","HS","MO",159021.8,12168000
"333",1011561,936.3961,2,"WW","SS","LO",27543.14,1712700
"334",1011596,941.54329,1,"WW","VA","LO",23707.56,954900
"335",1011601,1328.52814,5,"WW","SS","HO",12200.29,410840960
"336",1011723,524.55844,1,"WW","HS","LO",155770.8,529200
"337",1011749,1109.11688,4,"WW","SS","MO",41163.2,37727100
"338",1011753,1433.9697,2,"WW","VA","LO",3518.894,2717100
"339",1011759,314.55844,3,"WW","HS","MO",3391.615,3620700
"340",1011813,2547.35065,1,"WW","SS","LO",23767.56,1490400
"341",1011816,1416.3961,2,"WW","VA","LO",40850.77,2817000
"342",1011826,936.3961,1,"WW","SS","LO",28644.46,1036800
"343",1011829,259.70563,1,"WW","SS","LO",21479.91,280800
"344",1011882,409.70563,2,"WW","SS","LO",22690.57,5526000
"345",1011902,494.55844,3,"WW","VA","MO",3508.6,31588200
"346",1011929,2340.3658,3,"WW","SS","MO",25080.64,6360300
"347",1011975,3306.7619,1,"WW","SS","LO",25997.33,2534400
"348",1012025,1106.98485,2,"WW","SS","LO",32022.4,5291100
"349",1012089,899.11688,3,"WW","HS","MO",154980.5,20795400
"350",1012167,264.85281,1,"WW","SS","LO",29312.26,357300
"351",1012404,1019.11688,3,"WW","HS","MO",150141.2,39577500
"352",1012496,674.55844,4,"WW","VA","MO",981.8376,8216100
"353",1012509,651.83766,3,"WW","HS","MO",151993.4,31406400
"354",1012703,1733.08658,3,"WW","VA","MO",3815.879,3647700
"355",1012723,584.55844,1,"WW","VA","LO",35800.63,446400
"356",1012795,464.55844,1,"WW","HS","LO",156718.8,478800
"357",1012798,434.55844,1,"WW","HS","LO",151040.3,288000
"358",1012867,1203.38095,1,"WW","HS","LO",156805.7,852300
"359",1012903,1393.67532,2,"WW","VA","LO",43619.3,1906200
"360",1012949,766.69048,3,"WW","HS","MO",154805.6,8051400
"361",1013142,991.24892,2,"WW","SS","LO",39299.82,5957100
"362",1013441,989.11688,1,"WW","VA","LO",10932.12,620100
"363",1013662,1338.82251,2,"WX","VA","LO",18383.88,3833100
"364",1013762,591.83766,1,"CX","VA","LO",33850.27,459900
"365",1013978,776.98485,5,"WW","HS","HO",143454.4,110540728
"366",1014227,866.98485,2,"WW","HS","LO",142409.5,2395800
"367",1014271,866.98485,3,"WW","SS","MO",141542.6,6595200
"368",1014298,591.83766,3,"WW","VA","MO",170852.9,8285400
"369",1014318,851.54329,3,"WW","HS","MO",141684.4,6163200
"370",1014445,212.13203,1,"WW","VA","LO",166161.5,464400
"371",1014490,1013.9697,2,"WW","VA","LO",170231,3310200
"372",1014649,1907.93939,3,"WW","VA","MO",169217,14112000
"373",1014988,906.3961,1,"WW","SS","LO",138559.4,734400
"374",1015077,671.54329,2,"WW","SS","LO",132860,1458000
"375",1015092,1403.08658,4,"WW","SS","MO",131149.6,18593100
"376",1015093,2552.49783,1,"WW","SS","LO",129435,1946700
"377",1015144,1978.23376,2,"WW","VA","LO",146537.9,2633400
"378",1015171,1028.52814,1,"WX","HS","LO",29683.81,788400
"379",1015260,2671.61472,4,"WW","SS","MO",129746.5,21446100
"380",1015373,1103.9697,1,"WX","VA","LO",25426.45,648000
"381",1015461,3474.3355,2,"WX","VA","LO",24322.48,4806000
"382",1015556,1485.80736,2,"WW","VA","LO",129410.1,2837700
"383",1015565,1321.24892,2,"WW","VA","LO",20773.59,1812600
"384",1015696,90,2,"WW","Al","LO",126090.1,3295800
"385",1015788,1771.24892,3,"WW","SS","MO",2295.807,5488200
"386",1015794,1558.23376,3,"WW","SS","MO",3854.041,3482100
"387",1015898,2078.52814,3,"WW","VA","MO",17537.12,3987900
"388",1016015,1411.24892,1,"WW","HS","LO",2315.513,1152900
"389",1016081,192.42641,3,"WX","VA","MO",26556.16,6072300
"390",1016104,2130.3658,4,"WW","HS","MO",8931.169,38997900
"391",1016186,709.70563,4,"WW","VA","MO",128971.3,33949800
"392",1016195,416.98485,4,"WX","VA","MO",18278.07,19895400
"393",1016234,706.69048,2,"WW","SS","LO",120710.8,4619700
"394",1016286,1463.9697,4,"WW","VA","MO",15326.17,12107700
"395",1016288,277.27922,2,"WW","HS","LO",536.9849,3663000
"396",1016320,174.85281,3,"WW","HS","MO",135350.8,26564400
"397",1016351,1171.24892,1,"WW","VA","LO",136522.1,1030500
"398",1016362,1001.54329,3,"WW","HS","MO",136352.4,25504200
"399",1016383,72.42641,1,"WW","HS","LO",174.8528,277200
"400",1016408,416.98485,5,"WW","VA","HO",11264.26,82686600
"401",1016442,851.54329,5,"WW","VA","HO",5160.732,102526240
"402",1016617,1133.9697,6,"WW","HS","HO",117497.1,544650560
"403",1016678,884.55844,3,"WW","VA","MO",161551.9,8668800
"404",1016750,210,1,"WW","HS","LO",210,385165.84
"405",1016792,566.98485,2,"WW","VA","LO",17419.25,3377700
"406",1016809,536.98485,1,"WW","HS","LO",536.9849,404174.91
"407",1016888,766.69048,1,"WW","HS","LO",1226.102,570600
"408",1016950,2288.52814,1,"WW","VA","LO",134681.4,1206900
"409",1016972,157.27922,2,"WW","SS","LO",14353.74,1490400
"410",1016990,1476.3961,2,"WW","SS","LO",133815.3,4886100
"411",1017133,966.3961,4,"WW","HS","MO",3611.909,43416900
"412",1017195,169.70563,1,"WW","SS","LO",4293.747,294300
"413",1017216,881.54329,1,"WW","VA","LO",158556.7,837900
"414",1017229,803.9697,2,"WW","SS","LO",1643.087,1840500
"415",1017234,1381.24892,3,"WW","VA","MO",11953.37,9866700
"416",1017243,824.55844,3,"WW","SS","MO",3966.761,4977900
"417",1017244,1071.83766,3,"WW","VA","MO",159398.8,12283200
"418",1017253,1106.10173,1,"WW","SS","LO",1920.366,1006200
"419",1017403,404.55844,4,"WW","SS","MO",814.264,25110900
"420",1017757,1875.80736,1,"WW","VA","LO",9304.479,1311300
